Склад,Количество Начальный остаток,Стоимость Начальный остаток,Количество приход,Стоимость приход,Количество расход,Стоимость расход,Себест,Цена продажи,Сумма продажи,Количество Конечный остаток,Стоимость Конечный остаток,Profit,profitPR,date
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",2571.0,138578.28,2026.0,109201.4,3242.0,173774.98,52.39,67.72,218963.45,1337.0,72064.3,45188.47,26.0,2021-01-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",880.0,47432.0,2507.0,135125.98,3379.0,181967.72,53.16,66.23,208088.33,2.0,106.48,26120.61,14.35,2021-01-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",1440.0,156984.95,1806.0,194885.46,2192.0,238133.27,106.86,128.18,281165.42,1054.0,113737.14,43032.15,18.07,2021-01-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",4233.0,409173.99,917.0,88494.69,5105.0,491626.78,94.57,112.42,553686.87,34.0,3305.74,62060.09,12.62,2021-01-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",718.0,132799.65,213.0,32581.76,582.0,101535.84,164.68,189.59,109776.7,343.0,60844.09,8240.86,8.12,2021-01-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2003.0,119221.63,606.0,36155.46,2283.0,135553.99,58.18,76.16,173718.29,322.0,19162.22,38164.3,28.15,2021-01-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",2506.0,143869.66,3023.0,173579.89,4215.0,240680.55,56.28,69.86,293763.96,1313.0,75392.46,53083.41,22.06,2021-01-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2002.0,110990.88,608.0,33707.52,1612.0,89036.64,53.45,73.89,116615.01,992.0,54996.48,27578.37,30.97,2021-01-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",2499.0,161935.2,2100.0,136080.0,3483.0,225698.4,64.02,81.64,284535.8,1116.0,72316.8,58837.4,26.07,2021-01-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",3600.0,202356.0,1012.0,56876.05,3144.0,176049.72,55.21,75.32,225076.4,1467.0,82460.07,49026.68,27.85,2021-01-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",369.0,23404.92,2510.0,159033.6,2840.0,179333.88,61.69,78.01,225410.92,34.0,2154.24,46077.04,25.69,2021-01-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",4503.0,249646.32,5013.0,277920.72,7343.0,406375.2,54.28,67.95,506648.34,2170.0,120304.8,100273.14,24.68,2021-01-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",1489.0,80257.1,3408.0,183691.2,3247.0,174582.1,52.48,67.87,222271.21,1642.0,88503.8,47689.11,27.32,2021-02-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",28.0,1896.16,3512.0,189941.72,3505.0,188875.26,52.84,68.04,241331.15,27.0,1455.3,52455.89,27.77,2021-02-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",1161.0,125283.51,1904.0,205460.64,2090.0,225531.9,106.21,129.35,271922.56,975.0,105212.25,46390.66,20.57,2021-02-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",126.0,12180.98,7004.0,675918.34,6497.0,624134.49,94.34,116.34,774961.93,605.0,58364.35,150827.44,24.17,2021-02-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",376.0,67969.05,813.0,122895.24,1146.0,183137.73,155.78,176.2,206975.92,41.0,6196.74,23838.19,13.02,2021-02-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",380.0,22613.8,2819.0,167874.19,2607.0,151694.51,57.69,74.7,191698.47,587.0,34932.37,40003.96,26.37,2021-02-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",1433.0,82282.86,5206.0,298914.49,3614.0,207185.33,56.23,71.81,255417.4,3022.0,173523.24,48232.07,23.28,2021-02-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1108.0,61427.52,4007.0,222148.08,2841.0,157338.72,54.18,69.07,198424.22,2266.0,125627.04,41085.5,26.11,2021-02-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",1254.0,81259.2,4507.0,292220.84,3116.0,201439.31,63.2,78.76,248401.54,2643.0,171266.4,46962.23,23.31,2021-02-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",1667.0,93702.07,6702.0,376717.88,4830.0,271327.21,55.07,68.65,331888.2,3536.0,198758.56,60560.99,22.32,2021-02-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",68.0,4308.48,3822.0,242045.88,3226.0,203121.48,60.94,75.91,249636.76,636.0,40296.96,46515.28,22.9,2021-02-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",2500.0,138600.0,12006.0,665612.64,11894.0,659015.28,54.5,68.51,822137.16,2609.0,144642.96,163121.88,24.75,2021-02-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",1824.0,98313.6,3854.0,207730.6,4753.0,255755.5,52.69,68.42,325997.25,917.0,49426.3,70241.75,27.46,2021-03-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",41.0,2209.9,3554.0,191561.89,3534.0,189780.7,52.4,67.56,243085.65,56.0,3019.6,53304.95,28.09,2021-03-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",1077.0,116219.07,2108.0,227474.28,2746.0,296212.95,105.81,123.15,340648.94,421.0,45430.11,44435.99,15.0,2021-03-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",703.0,67818.41,5272.0,508589.84,4775.0,460258.37,94.52,121.76,590948.17,1189.0,114702.83,130689.8,28.39,2021-03-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",41.0,6196.74,1605.0,242579.7,1023.0,154313.94,145.06,176.63,185552.78,615.0,92951.1,31238.84,20.24,2021-03-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",608.0,36182.08,2445.0,146646.47,2062.0,121178.89,56.59,73.01,153443.71,974.0,58945.56,32264.82,26.63,2021-03-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",3073.0,176451.66,2724.0,157585.17,4347.0,248498.31,56.7,70.83,304994.62,1448.0,84259.5,56496.31,22.74,2021-03-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2435.0,134996.4,3045.0,168814.8,2851.0,157671.36,53.5,69.68,200077.48,2622.0,145363.68,42406.12,26.9,2021-03-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",2774.0,179755.2,2500.0,166200.0,2783.0,180353.52,64.18,82.08,225018.64,2491.0,165601.68,44665.12,24.77,2021-03-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",3710.0,208539.1,4002.0,229572.42,4473.0,251314.91,55.43,73.59,319417.49,3237.0,186571.77,68102.58,27.1,2021-03-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",677.0,42894.72,2816.0,178421.8,3226.0,203385.56,61.39,77.45,251887.0,244.0,15459.88,48501.44,23.85,2021-03-01
